Journal_title,ISSN,2012,2013,2014,2015,2016,2017,2018
Advances in Oceanography and Limnology,19475721,NA,NA,NA,NA,NA,4.034,NA
Advances in Optical Technologies,16876393,2.278,NA,NA,NA,NA,NA,NA
Advances in Optics and Photonics,19438206,12.021,9.488,9.958,7.75,8.571,9.245,8.93
Advances in Parasitology,0065308X,NA,NA,NA,2.961,NA,2.303,2.134
Advances in Physics,00018732,12.367,9.552,9.72,6.859,7.027,7.369,9.957
Advances in Virus Research,00653527,NA,NA,2.866,2.854,NA,NA,NA
African Affairs,00019909,2.894,2.675,2.408,2.92,3.035,2.38,2.861
African Journal of Disability,22239170,NA,NA,NA,NA,2.281,2.756,NA
African Natural History,18168396,NA,NA,NA,NA,NA,NA,3.351
Africana Linguistica,00654124,NA,NA,3.052,NA,NA,NA,NA
Age and Ageing,00020729,2.161,2.315,NA,NA,NA,NA,NA
Ageing Research Reviews,15681637,2.234,NA,2.198,NA,2.228,2.179,2.337
Agronomy for Sustainable Development,17740746,2.458,NA,NA,NA,2.332,2.572,2.317
AI Communications,09217126,2.157,NA,NA,NA,NA,NA,NA
AI Magazine,07384602,2.22,2.321,NA,NA,NA,NA,2.233
Aldrichimica Acta,00025100,NA,NA,3.688,2.774,NA,NA,NA
Alimentary Pharmacology and Therapeutics,02692813,NA,NA,2.189,NA,2.158,2.175,2.211
Alkaloids: Chemistry and Biology,10994831,2.19,NA,NA,NA,NA,NA,NA
Allergy: European Journal of Allergy and Clinical Immunology,01054538,NA,NA,NA,2.159,2.521,2.361,NA
Alternative Medicine Review,10895159,NA,2.655,3.17,2.296,NA,NA,NA
Alzheimer's and Dementia,15525260,3.567,4.565,4.554,2.826,2.626,2.744,3.339
American Economic Journal: Applied Economics,19457782,4.336,3.887,3.657,3.954,4.23,3.812,3.721
American Economic Journal: Economic Policy,19457731,2.444,2.869,3.407,2.983,3.268,3.759,3.223
American Economic Journal: Macroeconomics,19457707,4.671,4.989,4.02,3.099,3.637,2.884,4.318
American Economic Journal: Microeconomics,19457669,NA,NA,NA,NA,NA,NA,2.18
American Economic Review,00028282,3.545,3.792,4.126,3.96,4.266,4.728,4.081
American Educational Research Journal,00028312,4.33,3.858,3.557,4.327,4.394,2.657,2.734
American Ethnologist,00940496,2.457,2.698,2.776,2.948,3.22,3.19,3.117
American Historical Review,00028762,3.196,3.39,4.779,NA,2.118,2.537,3.099
American Journal of Cancer Research,,NA,NA,3.508,NA,NA,NA,NA
American Journal of Clinical Dermatology,11750561,NA,NA,NA,2.122,NA,NA,NA
American Journal of Clinical Nutrition,00029165,2.435,2.573,2.384,2.387,2.344,2.236,NA
American Journal of Cultural Sociology,20497113,NA,NA,2.585,NA,NA,NA,NA
American Journal of Education,01956744,NA,NA,NA,2.33,NA,NA,NA
American Journal of Evaluation,10982140,2.41,NA,NA,NA,NA,NA,NA
American Journal of Gastroenterology,00029270,2.534,2.779,3.019,3.139,3.502,2.907,2.689
American Journal of Human Genetics,00029297,3.101,3.01,3.189,2.995,2.596,2.441,2.439
American Journal of International Law,00029300,2.255,3.047,NA,2.514,2.883,NA,NA
American Journal of Jurisprudence,00658995,NA,NA,NA,NA,NA,3.642,NA
American Journal of Kidney Diseases,02726386,NA,NA,NA,NA,2.108,2.349,2.173
American Journal of Mathematics,00029327,NA,2.278,NA,NA,NA,NA,NA
"American Journal of Medical Genetics, Part C: Seminars in Medical Genetics",15524868,NA,NA,NA,NA,NA,NA,2.292
American Journal of Ophthalmology,00029394,2.485,2.392,2.227,2.246,2.345,2.187,NA
American Journal of Political Science,00925853,3.978,3.258,3.393,3.657,4.307,4.368,4.336
American Journal of Preventive Medicine,07493797,NA,NA,2.238,NA,NA,NA,NA
American Journal of Psychiatry,0002953X,4.134,4.225,3.822,3.385,3.211,3.244,4.044
American Journal of Public Health,00900036,2.154,NA,NA,NA,NA,NA,NA
American Journal of Respiratory and Critical Care Medicine,1073449X,3.259,3.448,3.788,3.508,3.511,3.052,3.201
American Journal of Sociology,00029602,3.453,3.954,4.561,4.184,3.008,3.106,3.934
American Journal of Speech-Language Pathology,10580360,2.194,NA,NA,NA,NA,NA,NA
American Journal of Sports Medicine,03635465,2.437,2.339,2.36,2.464,2.383,2.806,2.419
American Journal of Surgical Pathology,01475185,2.744,2.626,2.68,2.424,2.439,2.542,2.384
American Political Science Review,00030554,4.114,4.789,5.163,4.761,4.461,3.559,3.409
American Psychologist,0003066X,3.04,4.399,3.933,4.667,4.125,3.703,2.574
American Sociological Review,00031224,4.587,4.583,4.478,4.441,3.61,4.441,3.956
Analytic Methods in Accident Research,22136657,NA,NA,NA,2.562,3.594,3.49,2.391
Anatolian Studies,00661546,NA,NA,NA,NA,2.353,2.14,NA
Anesthesiology,00033022,2.25,2.518,2.593,2.474,2.311,2.231,2.15
Angewandte Chemie - International Edition,14337851,2.325,2.196,2.301,2.229,2.182,2.195,2.132
Annales Scientifiques de l'Ecole Normale Superieure,00129593,NA,NA,2.245,2.417,2.566,2.172,NA
Annals of Emergency Medicine,01960644,2.234,NA,NA,2.501,2.153,NA,NA
Annals of Family Medicine,15441709,NA,NA,2.195,2.671,2.198,2.458,NA
Annals of Intensive Care,,2.454,NA,NA,NA,NA,NA,NA
Annals of Internal Medicine,00034819,5.748,5.034,5.1,4.784,5.21,5.059,5.611
Annals of Mathematics,0003486X,4.332,4.609,4.395,5.385,5.1,6.088,5.055
Annals of Neurology,03645134,3.197,3.462,3.455,2.711,2.523,2.689,2.509
Annals of Oncology,09237534,2.556,2.44,2.552,2.86,3.153,3.482,3.217
Annals of Probability,00911798,2.292,NA,NA,2.304,2.181,2.276,NA
Annals of Solid and Structural Mechanics,18676936,2.238,NA,NA,NA,NA,NA,NA
Annals of Statistics,00905364,3.423,3.158,2.729,2.775,2.89,3.033,2.591
Annals of Surgery,00034932,3.343,3.469,3.569,3.546,3.309,3.16,3.081
Annals of the American Association of Geographers,24694452,NA,NA,NA,2.205,NA,NA,NA
Annals of the ICRP,01466453,NA,NA,NA,3.67,NA,NA,NA
Annals of the Rheumatic Diseases,00034967,3.116,2.892,2.882,3.267,3.716,3.587,3.594
Annals of Tourism Research,01607383,2.476,2.311,2.658,2.374,2.391,NA,NA
Annual of the British School at Athens,00682454,NA,NA,2.952,NA,NA,NA,NA
Annual Reports on the Progress of Chemistry - Section C,02601826,NA,NA,2.529,NA,NA,NA,NA
Annual Review of Analytical Chemistry,19361327,2.867,2.51,2.668,2.316,2.33,NA,NA
Annual Review of Animal Biosciences,21658102,NA,NA,NA,NA,NA,NA,2.353
Annual Review of Biochemistry,00664154,7.385,6.951,5.933,6.45,5.427,4.995,5.645
Annual Review of Biomedical Engineering,15239829,3.911,4.4,4.721,3.877,2.941,3.171,3.3
